"","metric","Index","Hydro_endpoint","CorObs_Pred","Threshold","BioThresh","Lower","Upper","Flow.Metric.Name","Flow.Component","flow_metric"
"1","asci_DS_Mag_50","asci","DS_Mag_50",0.235730252307389,"NAT",0.86,NA,NA,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"2","asci_DS_Mag_50","asci","DS_Mag_50",0.235730252307389,"HB",0.87,NA,NA,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"3","asci_DS_Mag_50","asci","DS_Mag_50",0.235730252307389,"SB0",0.79,NA,NA,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"4","asci_DS_Mag_50","asci","DS_Mag_50",0.235730252307389,"SB2",0.76,-17.7010763802813,0.381318967545943,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"5","csci_DS_Mag_50","csci","DS_Mag_50",0.582007149345452,"NAT",0.79,-8.80983782562329,4.28213196264109,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"6","csci_DS_Mag_50","csci","DS_Mag_50",0.582007149345452,"HB",0.67,-15.8992512172592,10.6709798489677,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"7","csci_DS_Mag_50","csci","DS_Mag_50",0.582007149345452,"SB0",0.78,-9.55604457908145,4.88689691345718,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"8","csci_DS_Mag_50","csci","DS_Mag_50",0.582007149345452,"SB2",0.75,-11.4342324406556,6.55672204747373,"Dry-season median baseflow","Dry-season baseflow","d_ds_mag_50"
"9","asci_FA_Mag","asci","FA_Mag",0.285933677251301,"NAT",0.86,NA,NA,"Fall pulse magnitude","Fall pulse flow","d_fa_mag"
"10","asci_FA_Mag","asci","FA_Mag",0.285933677251301,"HB",0.87,NA,NA,"Fall pulse magnitude","Fall pulse flow","d_fa_mag"
"11","asci_FA_Mag","asci","FA_Mag",0.285933677251301,"SB0",0.79,NA,NA,"Fall pulse magnitude","Fall pulse flow","d_fa_mag"
"12","asci_FA_Mag","asci","FA_Mag",0.285933677251301,"SB2",0.76,NA,NA,"Fall pulse magnitude","Fall pulse flow","d_fa_mag"
"13","csci_FA_Mag","csci","FA_Mag",0.524326900405873,"NAT",0.79,-53.4281371521465,43.9106257131524,"Fall pulse magnitude","Fall pulse flow","d_fa_mag"
"14","csci_FA_Mag","csci","FA_Mag",0.524326900405873,"HB",0.67,-189.654063516323,135.926416351476,"Fall pulse magnitude","Fall pulse flow","d_fa_mag"
